id,red1,red2,red3,red4,red5,red6,blue
2023049,5,7,14,23,25,27,2
2023048,2,3,10,24,28,30,8
2023047,5,7,14,23,31,33,7
2023046,6,8,17,25,26,28,3
2023045,3,6,12,21,27,28,4
2023044,2,8,15,22,24,26,16
2023043,5,8,12,20,24,28,10
2023042,10,17,20,23,27,30,10
2023041,1,6,12,13,15,24,6
2023040,9,16,17,24,29,31,8
2023039,2,3,9,13,19,28,9
2023038,2,9,14,17,31,33,8
2023037,8,23,25,26,29,31,12
2023036,13,14,18,19,24,30,9
2023035,1,4,9,10,20,33,6
2023034,2,3,9,11,12,17,15
2023033,8,9,13,23,24,26,5
2023032,6,19,20,26,28,33,1
2023031,7,14,27,29,31,33,5
2023030,2,3,7,16,30,31,6
2023029,3,7,12,24,28,33,8
2023028,5,7,10,17,20,22,14
2023027,8,10,22,27,32,33,8
2023026,1,18,26,30,31,33,3
2023025,4,16,20,21,31,32,14
2023024,3,6,9,17,27,28,3
2023023,5,8,10,15,24,25,9
2023022,10,11,18,19,23,31,3
2023021,2,5,6,19,21,27,4
2023020,1,12,17,18,26,27,5
2023019,6,12,26,28,29,32,15
2023018,10,12,17,19,25,31,13
2023017,5,11,18,20,26,28,12
2023016,14,16,19,23,28,30,3
2023015,2,3,14,21,29,32,8
2023014,6,7,18,23,27,30,5
2023013,6,10,14,22,23,33,13
2023012,3,4,7,22,26,30,6
2023011,6,7,16,17,21,22,4
2023010,4,5,13,18,27,29,12
2023009,3,4,19,23,30,32,6
2023008,5,13,18,20,26,28,6
2023007,5,6,9,22,25,31,3
2023006,2,10,12,14,24,26,5
2023005,2,6,8,13,14,19,16
2023004,1,7,15,16,20,25,16
2023003,5,8,18,25,30,32,6
2023002,2,6,10,16,18,22,13
2023001,9,16,18,22,28,32,2
2022150,1,7,11,12,22,28,5
2022149,2,22,26,29,32,33,14
2022148,2,15,16,17,21,31,14
2022147,2,3,7,13,20,30,10
2022146,6,7,13,18,26,31,6
2022145,3,21,25,30,31,33,11
2022144,7,20,22,23,31,32,5
2022143,7,8,13,29,30,33,3
2022142,1,3,13,16,21,27,3
2022141,5,12,13,17,20,27,14
2022140,8,9,18,19,20,27,15
2022139,6,7,9,16,17,19,14
2022138,2,14,19,21,25,28,11
2022137,8,21,23,27,28,33,1
2022136,8,10,14,15,18,22,8
2022135,9,11,13,24,28,32,6
2022134,1,5,14,17,24,31,14
2022133,5,8,16,17,21,25,12
2022132,1,3,18,26,32,33,4
2022131,3,5,10,13,19,29,6
2022130,2,8,15,17,26,28,12
2022129,10,12,14,22,24,27,7
2022128,3,12,18,24,27,29,1
2022127,3,4,9,10,29,33,13
2022126,1,13,15,17,26,33,13
2022125,2,3,7,12,20,31,16
2022124,5,10,13,18,24,26,1
2022123,10,13,16,20,21,25,5
2022122,6,8,17,19,24,28,5
2022121,12,17,22,27,30,31,2
2022120,2,15,19,26,27,29,2
2022119,2,5,15,18,26,27,4
2022118,2,6,7,11,14,33,8
2022117,4,13,17,18,28,29,6
2022116,8,14,26,27,30,33,1
2022115,6,7,18,20,27,29,9
2022114,1,5,15,19,26,29,13
2022113,13,14,20,24,27,29,2
2022112,3,5,8,17,25,31,1
2022111,2,10,11,13,28,31,1
2022110,9,13,15,18,20,28,15
2022109,4,11,13,19,22,33,11
2022108,1,7,13,17,18,31,15
2022107,3,9,11,15,19,28,16
2022106,17,20,22,23,24,31,1
2022105,6,12,13,15,21,23,15
2022104,1,8,19,25,26,31,1
2022103,6,9,12,14,20,28,10
2022102,9,10,12,18,29,32,14
2022101,4,16,18,19,27,28,4
2022100,2,6,7,15,20,21,15
2022099,1,11,23,24,26,32,15
2022098,2,3,4,6,21,33,5
2022097,4,5,10,13,30,31,14
2022096,3,16,17,19,25,33,7
2022095,4,13,14,18,20,28,8
2022094,6,11,13,16,19,31,2
2022093,21,22,24,28,29,32,14
2022092,7,10,16,20,21,27,11
2022091,8,18,20,22,24,28,10
2022090,1,4,25,27,29,30,7
2022089,2,7,15,29,31,33,15
2022088,3,9,15,17,20,22,6
2022087,5,6,9,13,23,25,8
2022086,1,4,8,21,23,24,11
2022085,7,9,14,31,32,33,13
2022084,3,18,23,24,25,32,9
2022083,8,12,13,14,19,20,5
2022082,4,10,11,23,30,32,14
2022081,4,8,11,21,27,30,1
2022080,5,12,15,17,18,27,4
2022079,1,9,15,17,22,23,16
2022078,1,4,5,15,17,31,9
2022077,3,17,18,19,20,27,16
2022076,8,9,10,13,24,29,2
2022075,1,2,4,25,26,30,10
2022074,5,7,15,19,29,33,15
2022073,6,10,14,15,26,29,12
2022072,5,14,15,16,18,32,12
2022071,4,7,15,18,29,33,1
2022070,4,6,9,27,28,33,2
2022069,6,7,13,19,26,29,8
2022068,7,12,15,24,26,29,6
2022067,1,5,13,21,26,29,15
2022066,6,11,14,20,27,30,9
2022065,9,14,18,23,28,31,2
2022064,4,6,12,13,17,31,16
2022063,6,8,9,17,22,31,11
2022062,16,18,20,21,23,33,5
2022061,1,3,16,18,29,33,6
2022060,16,18,19,24,28,32,1
2022059,6,9,18,19,29,33,6
2022058,6,13,14,23,31,33,1
2022057,12,15,20,26,30,33,16
2022056,1,6,11,14,17,26,15
2022055,2,4,9,26,28,33,3
2022054,8,12,21,27,28,33,11
2022053,10,14,18,23,27,33,15
2022052,7,24,27,29,31,32,15
2022051,2,5,11,17,21,33,1
2022050,3,5,8,14,27,33,8
2022049,2,4,7,18,25,26,10
2022048,5,7,17,20,26,31,14
2022047,3,7,8,14,27,30,9
2022046,2,11,24,25,27,30,14
2022045,3,12,17,18,19,28,4
2022044,1,7,8,21,23,29,6
2022043,2,17,20,23,25,27,8
2022042,5,10,11,21,22,30,13
2022041,5,7,21,22,24,29,14
2022040,3,12,14,16,31,33,12
2022039,2,6,7,10,15,20,5
2022038,9,12,13,16,24,32,4
2022037,1,10,13,20,22,32,14
2022036,2,3,14,16,26,31,2
2022035,8,12,13,19,23,25,15
2022034,14,17,26,31,32,33,10
2022033,5,12,19,22,25,26,5
2022032,4,10,11,14,23,32,7
2022031,1,10,11,22,26,32,7
2022030,12,23,24,26,27,30,5
2022029,3,8,10,13,26,32,8
2022028,5,11,20,22,23,29,9
2022027,14,15,18,19,26,32,9
2022026,3,4,10,15,22,24,2
2022025,6,19,24,25,28,32,4
2022024,7,9,10,14,19,24,15
2022023,7,12,17,19,24,25,2
2022022,1,7,11,15,17,19,6
2022021,3,7,22,24,26,31,14
2022020,9,11,14,22,30,32,1
2022019,5,6,14,20,21,25,8
2022018,7,11,16,17,30,32,16
2022017,6,9,24,29,30,32,7
2022016,5,10,19,20,29,31,14
2022015,6,14,16,27,28,31,7
2022014,6,7,13,14,15,27,4
2022013,2,3,4,7,10,18,15
2022012,4,7,8,29,30,31,1
2022011,6,15,23,24,25,33,15
2022010,12,18,19,20,21,32,15
2022009,4,15,17,19,25,28,16
2022008,2,3,7,9,20,21,13
2022007,1,20,22,23,25,28,16
2022006,3,6,9,15,22,31,2
2022005,7,10,12,16,19,31,16
2022004,5,19,24,28,30,32,14
2022003,2,5,16,17,18,30,6
2022002,2,12,21,23,25,31,8
2022001,6,13,15,17,20,21,3
2021150,9,14,20,21,24,26,4
2021149,5,10,15,18,19,32,5
2021148,10,12,15,17,19,20,8
2021147,5,10,11,13,27,28,9
2021146,7,9,21,22,26,32,3
2021145,4,7,10,14,16,26,9
2021144,2,5,13,15,23,26,7
2021143,1,9,11,13,20,29,9
2021142,4,7,17,19,20,24,16
2021141,1,14,19,23,26,30,10
2021140,5,10,16,26,27,33,1
2021139,12,14,19,23,24,27,1
2021138,11,14,15,16,27,32,9
2021137,3,7,10,14,21,24,1
2021136,2,6,9,15,19,28,16
2021135,3,10,17,19,21,31,4
2021134,1,2,16,19,25,31,8
2021133,1,3,12,19,27,31,10
2021132,1,4,6,14,20,28,8
2021131,8,11,18,19,20,24,1
2021130,8,9,15,24,26,30,6
2021129,4,15,21,27,28,29,10
2021128,5,17,20,21,23,33,4
2021127,7,15,16,20,27,29,7
2021126,19,20,23,27,28,31,1
2021125,14,19,20,23,24,31,9
2021124,1,3,18,22,29,32,2
2021123,6,14,15,19,29,31,5
2021122,4,5,12,15,18,28,7
2021121,4,5,12,16,22,30,15
2021120,1,7,8,12,13,18,5
2021119,3,9,10,11,28,29,13
2021118,2,6,14,18,20,31,13
2021117,3,5,17,21,27,33,4
2021116,6,14,17,18,31,33,6
2021115,2,10,12,15,24,27,8
2021114,4,6,8,14,24,27,2
2021113,4,7,10,22,27,30,2
2021112,5,6,21,25,28,33,7
2021111,17,20,22,23,26,28,6
2021110,10,13,15,24,31,32,2
2021109,2,3,10,17,20,26,16
2021108,11,15,18,24,26,32,9
2021107,2,3,17,19,25,30,1
2021106,1,4,7,14,30,31,3
2021105,10,14,15,22,27,32,9
2021104,1,7,17,20,22,28,15
2021103,10,13,15,25,29,30,15
2021102,5,9,15,24,27,30,9
2021101,2,4,12,22,29,31,1
2021100,7,9,12,13,14,29,16
2021099,9,11,17,18,20,27,15
2021098,1,10,13,18,26,32,5
2021097,3,11,12,13,25,28,12
2021096,1,7,11,14,15,26,11
2021095,8,12,17,24,27,28,13
2021094,9,11,24,25,28,33,15
2021093,5,11,15,23,28,33,3
2021092,2,7,8,10,12,31,3
2021091,4,6,16,24,26,33,16
2021090,5,6,12,14,27,28,8
2021089,1,2,7,13,23,24,12
2021088,4,12,15,16,19,26,6
2021087,2,13,16,19,23,24,4
2021086,6,8,10,14,28,29,1
2021085,5,6,7,11,14,20,2
2021084,5,7,9,11,21,28,1
2021083,4,9,11,25,28,33,4
2021082,3,6,11,13,26,32,5
2021081,1,3,5,18,22,23,1
2021080,5,8,22,23,24,29,9
2021079,1,3,10,24,28,29,13
2021078,4,6,15,26,27,31,12
2021077,8,15,17,25,27,30,10
2021076,3,9,21,23,30,32,6
2021075,12,15,16,21,22,29,1
2021074,4,5,9,14,25,27,7
2021073,1,6,18,22,24,25,8
2021072,1,9,15,16,19,21,15
2021071,1,7,24,31,32,33,8
2021070,1,5,11,15,16,29,15
2021069,6,11,18,20,23,26,5
2021068,4,14,18,24,31,32,15
2021067,1,11,19,23,25,29,9
2021066,2,6,19,26,30,33,15
2021065,1,4,8,19,29,33,16
2021064,4,6,8,15,16,18,16
2021063,4,5,6,9,23,24,9
2021062,12,13,15,20,22,25,10
2021061,4,9,12,18,20,23,1
2021060,10,11,17,20,29,30,15
2021059,1,9,11,18,32,33,14
2021058,9,11,13,18,19,28,14
2021057,5,6,9,17,25,33,16
2021056,8,21,22,23,29,32,1
2021055,3,11,12,16,22,28,10
2021054,7,13,21,22,24,31,2
2021053,7,10,14,16,24,33,16
2021052,3,4,6,19,21,30,14
2021051,8,9,10,19,27,29,15
2021050,2,9,10,16,25,28,8
2021049,4,11,13,22,25,32,1
2021048,4,15,17,22,29,32,3
2021047,3,7,13,16,24,29,1
2021046,5,9,13,21,28,33,6
2021045,1,4,14,15,17,32,2
2021044,5,7,14,17,26,28,13
2021043,2,3,17,18,23,24,1
2021042,5,9,10,22,25,27,8
2021041,2,9,18,23,26,32,14
2021040,2,6,7,24,28,29,16
2021039,2,8,21,24,29,31,13
2021038,5,7,9,16,18,27,6
2021037,13,17,19,24,26,30,12
2021036,1,2,6,11,21,26,11
2021035,12,14,18,20,26,28,11
2021034,4,10,12,18,23,25,1
2021033,2,12,13,14,31,33,6
2021032,1,5,8,15,16,30,3
2021031,6,11,21,25,28,31,7
2021030,8,9,13,27,29,31,5
2021029,8,10,15,17,22,30,12
2021028,11,16,23,26,27,33,5
2021027,5,7,9,16,20,26,8
2021026,3,5,13,19,20,25,3
2021025,6,8,14,17,18,30,11
2021024,1,4,6,10,11,18,2
2021023,2,21,22,23,27,28,11
2021022,10,15,17,25,31,32,6
2021021,4,8,17,24,28,33,13
2021020,1,3,6,7,9,11,2
2021019,12,16,17,24,28,29,8
2021018,2,8,14,23,25,32,6
2021017,9,15,18,29,32,33,2
2021016,3,8,9,13,15,18,10
2021015,6,14,16,26,28,29,7
2021014,4,15,21,25,29,33,6
2021013,6,9,12,16,27,31,6
2021012,3,6,14,18,20,26,1
2021011,5,10,16,23,27,33,14
2021010,1,4,11,19,32,33,5
2021009,2,4,7,24,25,32,13
2021008,1,5,7,14,18,33,7
2021007,2,4,12,21,25,32,16
2021006,6,8,22,24,25,26,1
2021005,7,9,14,26,30,31,4
2021004,2,3,7,8,17,22,15
2021003,6,9,16,18,22,29,11
2021002,6,10,13,25,26,32,11
2021001,2,3,13,18,20,31,11
2020134,2,9,10,20,22,26,1
2020133,3,19,22,23,27,29,7
2020132,1,4,11,12,14,23,4
2020131,8,19,22,26,27,30,7
2020130,8,9,11,14,17,29,16
2020129,1,2,5,15,28,33,4
2020128,8,10,15,16,23,26,10
2020127,1,4,18,19,26,31,7
2020126,3,7,12,14,23,28,11
2020125,5,12,16,26,30,31,13
2020124,16,18,19,20,29,33,12
2020123,1,3,18,19,26,29,3
2020122,12,15,17,24,26,31,15
2020121,2,4,6,21,25,29,3
2020120,1,2,3,4,9,10,12
2020119,1,9,22,28,32,33,15
2020118,11,13,19,26,30,33,5
2020117,7,8,9,10,16,27,7
2020116,5,6,14,16,19,27,10
2020115,1,4,12,20,25,32,2
2020114,1,5,11,24,30,32,3
2020113,1,3,7,10,22,32,11
2020112,2,9,12,17,28,32,5
2020111,6,9,17,22,24,26,16
2020110,2,6,9,14,22,25,4
2020109,6,13,16,20,23,32,13
2020108,10,12,15,17,23,32,5
2020107,3,9,11,24,25,28,16
2020106,2,4,11,15,18,28,10
2020105,6,14,19,20,22,24,1
2020104,4,8,10,16,27,29,9
2020103,4,9,10,22,28,32,8
2020102,9,10,19,25,26,29,8
2020101,10,17,24,25,28,30,15
2020100,1,7,15,16,20,23,7
2020099,5,6,11,12,15,30,12
2020098,6,8,11,22,25,33,2
2020097,2,8,21,25,26,30,10
2020096,1,20,23,26,27,32,15
2020095,3,9,16,17,20,26,2
2020094,10,15,17,27,29,31,8
2020093,4,5,10,13,15,19,15
2020092,1,6,12,18,22,24,3
2020091,1,9,11,12,16,19,16
2020090,2,21,23,26,31,32,6
2020089,2,14,16,21,29,30,10
2020088,1,6,12,26,29,30,12
2020087,11,15,20,23,25,33,10
2020086,2,4,6,15,24,27,6
2020085,1,2,5,9,19,24,16
2020084,3,7,16,17,23,30,7
2020083,1,19,25,26,30,31,12
2020082,2,8,11,17,21,30,9
2020081,1,5,13,14,27,33,15
2020080,14,15,18,22,31,33,1
2020079,5,12,20,21,22,29,14
2020078,3,11,14,16,21,32,4
2020077,3,10,16,21,25,27,12
2020076,10,15,16,18,20,27,6
2020075,3,11,13,20,24,30,16
2020074,4,8,9,13,19,33,12
2020073,5,7,11,13,27,29,3
2020072,6,8,10,15,17,26,4
2020071,9,11,12,13,22,23,8
2020070,1,2,4,6,19,21,15
2020069,3,9,10,13,18,26,4
2020068,12,16,21,26,27,32,10
2020067,4,7,9,23,27,30,8
2020066,2,9,13,17,26,28,7
2020065,9,15,18,21,23,26,8
2020064,1,3,7,21,27,32,1
2020063,12,15,16,22,29,32,14
2020062,10,14,17,22,26,27,5
2020061,8,17,24,26,27,31,4
2020060,5,9,14,20,24,30,8
2020059,2,4,10,17,22,25,14
2020058,1,3,11,12,19,26,7
2020057,9,14,21,23,26,32,3
2020056,2,5,8,12,26,31,14
2020055,1,5,7,23,28,30,12
2020054,3,10,19,25,26,31,2
2020053,2,14,15,16,32,33,1
2020052,2,8,13,29,32,33,15
2020051,3,6,8,11,19,28,8
2020050,4,9,17,20,32,33,15
2020049,1,7,9,12,18,22,4
2020048,12,14,18,23,30,32,2
2020047,4,10,17,19,28,32,1
2020046,13,19,25,26,27,32,8
2020045,2,3,15,21,22,33,16
2020044,7,8,16,17,19,24,7
2020043,1,11,24,25,27,30,7
2020042,2,6,7,11,14,31,3
2020041,6,7,16,22,24,25,13
2020040,1,6,12,16,19,21,4
2020039,2,9,10,11,16,29,2
2020038,1,6,7,18,23,24,15
2020037,1,4,11,13,17,24,15
2020036,7,9,16,22,24,32,6
2020035,10,14,24,25,28,33,11
2020034,2,8,15,16,26,32,3
2020033,7,10,12,21,31,32,1
2020032,3,11,13,14,15,26,13
2020031,2,5,9,15,16,27,9
2020030,17,18,21,29,30,32,3
2020029,1,12,18,20,30,32,5
2020028,5,6,15,18,26,32,8
2020027,12,13,14,24,25,28,6
2020026,1,4,9,18,19,31,6
2020025,1,9,10,15,20,29,2
2020024,10,13,27,28,29,31,8
2020023,4,5,20,21,30,33,8
2020022,2,10,20,22,25,30,2
2020021,2,6,14,16,27,31,7
2020020,1,6,9,13,15,22,14
2020019,15,19,27,28,30,33,3
2020018,5,7,8,11,17,22,13
2020017,2,4,7,15,20,27,4
2020016,5,6,8,17,24,27,7
2020015,8,9,22,24,30,33,1
2020014,2,7,8,10,12,16,7
2020013,2,8,10,20,21,30,14
2020012,4,13,14,23,26,31,9
2020011,4,5,7,17,18,29,1
2020010,11,14,22,27,31,32,9
2020009,3,6,8,14,19,26,12
2020008,1,4,6,10,11,28,16
2020007,5,12,17,20,25,31,10
2020006,3,4,5,10,16,32,9
2020005,11,16,17,22,26,32,4
2020004,2,15,17,27,32,33,3
2020003,9,17,26,29,30,32,3
2020002,4,9,14,15,16,29,11
2020001,2,15,23,26,29,30,2
2019151,2,6,9,18,24,26,14
2019150,2,9,14,22,27,29,2
2019149,1,6,27,28,31,33,7
2019148,9,10,13,20,26,27,8
2019147,1,9,12,14,23,27,12
2019146,1,4,10,12,30,32,14
2019145,1,8,13,17,18,19,16
2019144,2,12,15,19,27,30,3
2019143,5,13,15,16,26,32,9
2019142,8,14,24,27,29,33,9
2019141,10,13,14,15,17,33,14
2019140,2,4,9,11,14,22,5
2019139,8,14,20,23,30,33,11
2019138,2,6,12,30,31,32,11
2019137,7,10,13,19,23,31,6
2019136,12,14,15,17,29,33,12
2019135,3,6,10,11,27,33,3
2019134,1,4,6,22,29,30,3
2019133,3,7,16,21,24,31,7
2019132,4,6,11,14,19,33,7
2019131,9,17,19,20,24,31,4
2019130,1,7,9,11,24,32,16
2019129,3,4,7,9,15,26,7
2019128,3,8,12,16,17,19,8
2019127,2,6,7,12,17,24,10
2019126,2,14,17,29,32,33,16
2019125,2,11,12,26,27,29,3
2019124,4,9,30,31,32,33,1
2019123,2,6,8,17,28,30,6
2019122,4,10,15,19,21,23,2
2019121,2,6,15,21,30,31,2
2019120,10,12,27,31,32,33,3
2019119,4,20,22,24,26,33,7
2019118,12,14,15,25,28,31,4
