id,red1,red2,red3,red4,red5,red6,blue
2016058,3,5,18,20,24,32,11
2016057,7,12,19,22,23,26,11
2016056,3,4,8,11,16,18,14
2016055,5,6,10,16,22,26,11
2016054,6,11,16,19,28,32,4
2016053,2,8,10,12,29,31,1
2016052,1,6,13,19,24,28,16
2016051,1,2,4,9,15,33,12
2016050,9,12,24,28,29,30,2
2016049,6,8,13,14,22,27,10
2016048,3,8,13,14,15,30,4
2016047,2,5,8,15,17,22,16
2016046,7,20,25,26,27,30,14
2016045,4,9,12,17,30,32,3
2016044,1,3,10,12,18,30,1
2016043,5,14,20,26,30,33,12
2016042,7,14,17,23,26,31,9
2016041,12,17,18,21,22,24,4
2016040,3,13,19,20,23,26,3
2016039,1,3,7,18,19,27,16
2016038,3,12,13,22,28,29,3
2016037,6,15,26,31,32,33,16
2016036,3,4,7,9,20,22,3
2016035,4,13,19,20,26,29,11
2016034,3,15,21,22,23,28,15
2016033,6,17,18,20,27,29,15
2016032,8,12,14,15,21,27,15
2016031,3,8,10,19,26,33,3
2016030,10,14,19,22,25,29,12
2016029,12,15,18,20,21,27,15
2016028,6,8,12,21,25,29,1
2016027,11,13,15,17,19,31,5
2016026,4,9,12,28,30,33,1
2016025,4,11,12,17,24,30,12
2016024,2,5,7,14,18,31,13
2016023,3,6,10,19,25,29,7
2016022,4,9,19,22,23,30,7
2016021,9,11,13,22,24,26,5
2016020,1,2,10,12,22,24,10
2016019,6,13,16,17,23,30,10
2016018,12,13,14,17,21,25,4
2016017,5,6,8,20,22,30,5
2016016,1,20,22,24,25,26,16
2016015,1,2,14,22,25,26,7
2016014,2,8,10,18,20,27,7
2016013,7,12,21,22,26,31,1
2016012,7,12,14,16,27,32,15
2016011,3,8,10,15,22,29,12
2016010,2,4,12,14,19,25,6
2016009,10,14,24,25,27,32,4
2016008,2,15,24,29,32,33,2
2016007,5,12,14,20,27,29,6
2016006,13,16,18,20,28,31,12
2016005,11,14,18,20,31,33,14
2016004,8,10,17,22,25,33,12
2016003,1,10,14,23,26,28,1
2016002,9,14,17,20,24,30,16
2016001,6,13,16,18,20,22,13
2015154,7,9,11,15,18,25,7
2015153,8,11,15,22,27,29,3
2015152,11,18,19,21,29,32,12
2015151,5,6,8,23,31,32,11
2015150,1,3,8,11,29,31,13
2015149,9,10,20,21,22,33,9
2015148,9,13,14,22,26,27,7
2015147,8,9,16,23,24,30,5
2015146,16,17,21,28,30,32,15
2015145,7,8,15,19,20,24,13
2015144,1,4,7,15,28,32,16
2015143,13,15,19,20,21,32,4
2015142,13,17,19,20,22,25,11
2015141,3,8,19,25,27,28,2
2015140,6,20,28,29,30,31,12
2015139,1,10,13,18,25,27,9
2015138,1,2,8,16,19,24,11
2015137,14,22,23,27,28,31,12
2015136,2,5,12,23,28,29,1
2015135,1,12,14,18,26,32,7
2015134,2,5,14,19,27,31,4
2015133,2,3,13,20,22,24,15
2015132,3,5,11,28,30,33,1
2015131,10,12,13,19,22,26,3
2015130,6,14,15,16,17,22,10
2015129,5,8,11,16,18,27,4
2015128,1,3,8,11,22,28,6
2015127,7,10,19,22,27,33,6
2015126,10,11,15,20,23,29,12
2015125,5,13,22,27,30,33,10
2015124,2,3,5,12,18,27,1
2015123,5,8,9,12,22,28,7
2015122,5,7,11,16,22,25,7
2015121,1,3,20,21,28,29,12
2015120,16,21,24,26,27,29,16
2015119,2,8,10,18,23,31,8
2015118,1,4,11,21,23,31,12
2015117,4,11,12,18,26,32,12
2015116,4,6,15,23,26,28,11
2015115,1,7,8,14,24,32,3
2015114,4,7,9,13,21,26,1
2015113,1,5,7,8,19,27,12
2015112,1,3,10,19,20,27,11
2015111,8,14,16,18,20,30,12
2015110,5,7,16,17,22,23,4
2015109,1,8,9,16,32,33,13
2015108,2,12,19,22,24,27,15
2015107,7,14,16,18,21,25,8
2015106,1,3,4,23,31,32,13
2015105,9,10,16,19,20,26,12
2015104,9,18,21,23,25,26,1
2015103,6,8,13,26,30,32,14
2015102,7,9,12,14,21,23,6
2015101,8,16,22,24,28,29,5
2015100,2,3,11,17,19,21,8
2015099,6,7,10,11,14,22,9
2015098,6,9,13,26,27,33,1
2015097,9,12,14,20,26,27,4
2015096,6,16,17,23,24,31,7
2015095,4,15,21,28,30,31,4
2015094,1,4,6,13,16,17,10
2015093,1,3,13,21,25,31,8
2015092,9,15,19,21,26,27,1
2015091,5,7,17,19,22,31,11
2015090,10,12,14,22,25,33,15
2015089,12,14,19,27,28,29,1
2015088,2,12,20,24,29,31,9
2015087,9,15,16,19,20,28,11
2015086,5,6,8,16,18,22,12
2015085,2,8,25,27,28,29,5
2015084,15,18,20,22,28,29,15
2015083,6,7,16,18,29,32,5
2015082,2,8,9,14,28,30,7
2015081,13,20,22,26,28,31,13
2015080,14,17,25,27,28,30,2
2015079,9,14,15,20,26,32,11
2015078,3,7,20,22,26,29,2
2015077,1,6,8,10,13,27,16
2015076,1,9,10,19,23,27,9
2015075,6,11,13,19,21,32,4
2015074,4,7,21,25,26,29,8
2015073,1,2,17,22,26,27,4
2015072,1,3,5,20,21,31,5
2015071,8,18,20,28,29,31,8
2015070,1,7,13,19,21,29,15
2015069,1,13,17,18,23,30,15
2015068,6,15,18,21,26,27,10
2015067,2,5,8,24,25,31,14
2015066,5,8,11,17,24,28,16
2015065,8,10,14,19,26,29,12
2015064,11,12,14,17,23,27,1
2015063,1,7,9,16,22,32,12
2015062,9,14,15,18,21,26,16
2015061,6,18,22,26,32,33,4
2015060,1,3,18,27,31,32,13
2015059,2,6,9,16,25,32,14
2015058,2,9,10,18,19,20,15
2015057,9,20,24,25,26,32,4
2015056,1,7,8,16,18,20,14
2015055,1,10,15,18,19,28,2
2015054,1,2,7,10,22,26,7
2015053,3,7,17,22,32,33,10
2015052,2,4,11,16,25,26,12
2015051,4,10,24,26,28,32,9
2015050,3,9,12,16,17,31,4
2015049,7,12,14,17,20,23,5
2015048,13,16,17,22,25,27,10
2015047,2,3,20,24,26,27,9
2015046,5,7,10,14,23,31,1
2015045,1,5,13,22,30,31,7
2015044,2,3,4,13,14,16,2
2015043,11,12,15,24,26,27,15
2015042,9,10,19,21,23,32,8
2015041,4,9,11,17,21,25,6
2015040,13,16,18,27,30,32,16
2015039,1,13,15,26,29,30,12
2015038,5,6,11,12,14,33,14
2015037,5,7,12,18,28,31,3
2015036,4,6,16,17,26,33,3
2015035,1,8,9,22,24,33,3
2015034,12,13,17,18,20,27,13
2015033,3,6,21,29,31,32,5
2015032,11,14,16,18,29,32,16
2015031,1,5,7,22,26,32,11
2015030,8,11,14,15,16,26,7
2015029,7,14,15,19,21,28,7
2015028,4,7,10,26,27,28,14
2015027,5,7,9,16,26,29,7
2015026,2,13,17,21,22,33,13
2015025,10,11,12,15,27,32,14
2015024,9,11,16,18,23,24,10
2015023,8,9,10,13,29,30,1
2015022,4,7,10,16,23,25,10
2015021,14,15,16,17,27,28,8
2015020,1,4,7,19,22,23,4
2015019,2,6,11,19,25,26,4
2015018,6,9,12,14,28,29,9
2015017,13,18,20,25,27,33,12
2015016,2,6,10,15,17,31,13
2015015,1,7,20,24,25,33,4
2015014,2,12,16,19,27,30,11
2015013,8,9,24,25,26,29,1
2015012,3,5,22,23,29,31,6
2015011,4,14,15,17,18,20,15
2015010,1,2,3,8,21,31,9
2015009,4,7,14,17,21,25,14
2015008,4,7,10,16,20,22,3
2015007,1,7,9,17,20,33,8
2015006,1,10,11,29,31,33,13
2015005,7,10,16,17,18,32,15
2015004,2,14,15,16,23,24,10
2015003,10,15,20,23,24,31,15
2015002,7,15,16,25,28,32,5
2015001,1,7,9,16,20,23,6
2014152,8,13,15,20,21,25,12
2014151,4,5,8,11,21,27,8
2014150,3,8,14,22,24,32,9
2014149,7,9,10,15,19,33,1
2014148,1,2,5,12,15,16,13
2014147,6,7,22,26,31,32,10
2014146,1,6,13,20,29,32,1
2014145,10,12,13,23,26,29,11
2014144,3,5,6,9,10,27,14
2014143,3,12,18,20,25,26,16
2014142,6,21,22,23,25,28,13
2014141,8,9,11,16,21,24,10
2014140,6,10,11,14,17,33,6
2014139,1,14,15,20,25,29,11
2014138,4,6,13,29,31,33,13
2014137,3,6,9,11,25,29,9
2014136,3,16,19,27,31,32,10
2014135,2,4,11,13,25,33,1
2014134,5,16,22,23,26,28,2
2014133,13,14,16,23,30,31,13
2014132,5,6,14,15,18,33,8
2014131,5,17,21,22,28,32,14
2014130,1,2,10,24,30,33,10
2014129,5,8,9,20,28,32,2
2014128,5,7,8,17,18,24,14
2014127,2,10,12,21,23,27,12
2014126,6,11,16,17,22,27,1
2014125,10,11,15,26,31,32,6
2014124,2,17,20,24,31,33,4
2014123,1,6,11,17,28,33,5
2014122,6,9,11,16,20,29,11
2014121,1,2,13,22,28,30,9
2014120,1,7,12,16,23,28,4
2014119,6,13,17,20,26,29,9
2014118,5,7,15,18,26,30,3
2014117,5,10,17,25,28,29,4
2014116,9,10,14,15,19,29,16
2014115,1,9,10,11,13,32,3
2014114,2,7,23,30,32,33,10
2014113,12,14,28,31,32,33,7
2014112,1,15,16,21,24,30,3
2014111,2,8,17,20,22,28,2
2014110,1,8,11,13,19,30,6
2014109,2,5,11,15,19,28,2
2014108,3,8,9,20,23,28,2
2014107,11,14,17,22,25,27,16
2014106,9,14,17,18,21,25,15
2014105,14,16,17,19,27,32,4
2014104,2,6,12,19,27,28,13
2014103,3,8,9,10,18,33,4
2014102,14,16,21,24,28,31,13
2014101,16,18,20,23,24,32,7
2014100,1,6,9,10,14,16,11
2014099,1,5,10,11,13,32,14
2014098,2,13,17,20,29,31,7
2014097,7,13,24,25,27,32,15
2014096,12,14,17,19,22,24,8
2014095,5,6,8,14,22,31,8
2014094,1,10,18,20,23,29,1
2014093,2,8,9,10,20,29,5
2014092,3,13,18,19,22,26,7
2014091,1,5,12,19,27,29,14
2014090,5,9,11,19,24,32,13
2014089,4,6,14,17,27,30,9
2014088,3,6,11,14,16,29,15
2014087,6,18,22,23,32,33,6
2014086,2,4,10,12,14,30,8
2014085,1,2,11,19,23,29,8
2014084,1,6,9,10,13,25,8
2014083,5,6,19,21,23,33,12
2014082,2,4,20,25,26,29,11
2014081,8,14,22,24,27,29,10
2014080,5,14,16,17,25,30,7
2014079,2,7,16,22,27,28,2
2014078,2,3,5,6,9,17,7
2014077,8,9,12,15,19,22,10
2014076,6,10,12,17,18,33,11
2014075,3,9,11,22,27,29,6
2014074,1,3,6,13,30,31,12
2014073,1,12,16,20,30,33,2
2014072,1,3,7,13,19,32,16
2014071,2,4,12,17,22,25,14
2014070,1,7,9,19,28,29,7
2014069,5,12,17,19,25,30,11
2014068,4,12,13,22,27,29,16
2014067,1,6,7,17,18,23,6
2014066,2,5,15,17,18,21,16
2014065,3,4,5,8,10,22,6
2014064,2,9,15,16,29,32,14
2014063,3,8,17,21,22,31,16
2014062,6,9,15,24,25,26,9
2014061,2,14,17,27,28,31,8
2014060,3,5,14,18,25,33,6
2014059,5,8,12,13,23,25,13
2014058,2,3,12,13,14,25,11
2014057,2,4,12,18,23,31,8
2014056,1,11,18,20,28,29,1
2014055,2,9,14,19,21,30,4
2014054,1,4,5,11,29,30,14
2014053,14,17,19,22,26,31,2
2014052,9,13,15,28,30,33,8
2014051,10,16,19,21,23,24,13
2014050,3,17,23,25,26,32,13
2014049,6,7,16,17,23,32,6
2014048,6,9,16,17,24,25,16
2014047,8,10,11,12,19,29,15
2014046,2,10,11,17,18,22,10
2014045,2,4,9,11,19,22,15
2014044,4,9,21,27,28,33,12
2014043,2,5,9,14,24,33,9
2014042,12,15,20,25,28,33,14
2014041,7,11,16,18,21,22,2
2014040,3,4,6,11,12,15,8
2014039,3,11,15,19,20,31,7
2014038,4,7,22,23,24,33,16
2014037,6,13,14,24,25,30,7
2014036,1,7,8,9,11,22,3
2014035,7,8,9,17,32,33,6
2014034,1,3,4,8,25,31,6
2014033,5,13,23,28,32,33,12
2014032,1,2,14,22,29,33,7
2014031,4,10,16,17,21,27,14
2014030,12,18,19,23,24,30,10
2014029,2,7,14,16,21,29,14
2014028,6,16,21,27,30,32,5
2014027,8,10,14,16,30,31,1
2014026,1,2,5,6,11,23,14
2014025,1,5,10,14,16,30,16
2014024,8,10,16,20,23,30,9
2014023,7,9,13,17,21,22,10
2014022,4,6,7,10,21,26,16
2014021,8,10,15,17,22,29,12
2014020,9,14,17,23,24,25,15
2014019,2,10,15,19,20,21,7
2014018,13,17,18,21,30,33,15
2014017,4,6,7,14,25,26,10
2014016,2,3,7,13,21,24,8
2014015,2,11,19,30,32,33,9
2014014,4,9,19,22,25,29,15
2014013,5,9,13,15,17,21,13
2014012,1,8,11,19,21,24,8
2014011,9,10,13,14,21,32,2
2014010,5,7,8,20,31,33,11
2014009,8,9,19,20,25,32,16
2014008,5,14,16,21,29,30,12
2014007,8,10,12,14,18,28,14
2014006,3,4,7,17,21,27,14
2014005,15,18,23,27,32,33,4
2014004,1,4,19,22,24,25,15
2014003,6,10,11,28,30,33,12
2014002,4,21,23,31,32,33,4
2014001,3,9,15,20,27,29,1
2013154,7,11,14,19,24,29,5
2013153,8,11,13,18,28,33,10
2013152,4,6,14,16,18,29,5
2013151,3,9,10,19,28,33,9
2013150,1,15,16,25,26,29,10
2013149,9,18,25,26,30,32,11
2013148,6,11,12,14,17,22,1
2013147,2,15,16,17,19,30,8
2013146,8,20,25,30,32,33,1
2013145,6,10,13,16,23,24,15
2013144,5,7,12,19,27,31,2
2013143,12,18,21,22,27,32,11
2013142,11,12,14,20,22,29,14
2013141,3,4,5,25,30,31,4
2013140,1,5,12,13,21,22,10
2013139,7,8,11,13,21,27,8
2013138,4,15,16,24,27,28,3
2013137,4,17,19,23,24,27,10
2013136,4,6,14,16,18,26,6
2013135,9,23,24,25,29,31,12
2013134,1,17,18,19,25,29,10
2013133,4,7,12,19,22,25,1
2013132,20,21,22,23,25,27,12
2013131,4,6,12,17,19,26,9
2013130,1,3,15,16,31,33,8
2013129,5,6,10,14,27,31,14
2013128,7,13,17,19,25,31,8
2013127,2,3,13,20,22,33,14
2013126,4,10,19,27,31,33,16
2013125,4,6,8,18,25,28,16
2013124,3,9,15,23,25,30,7
2013123,1,2,6,11,17,25,2
2013122,7,10,13,15,26,27,11
2013121,4,5,6,7,25,27,7
2013120,5,6,13,18,23,31,11
2013119,5,15,20,22,26,32,9
2013118,2,3,17,22,32,33,16
2013117,9,12,13,24,27,33,16
2013116,12,15,21,26,32,33,7
2013115,3,12,16,17,18,27,8
2013114,4,6,17,21,23,33,7
2013113,4,7,11,17,24,33,9
2013112,1,6,12,13,22,31,7
2013111,1,2,3,6,8,33,13
2013110,15,17,18,21,29,32,13
2013109,9,23,24,27,29,32,8
2013108,16,21,22,28,31,32,5
2013107,7,9,11,17,28,31,11
2013106,9,11,23,30,31,32,6
2013105,1,11,23,27,31,32,9
2013104,1,2,4,15,17,28,11
2013103,2,4,9,13,18,20,7
2013102,2,4,5,6,8,16,3
2013101,5,7,9,23,27,32,1
2013100,4,8,11,14,16,20,11
2013099,5,11,20,21,26,31,3
2013098,7,15,18,19,20,26,14
2013097,5,14,17,22,23,25,7
2013096,1,2,22,28,29,30,15
2013095,1,6,15,19,28,29,10
2013094,2,4,14,18,20,22,7
2013093,1,2,8,26,29,31,14
2013092,7,11,15,21,26,31,6
2013091,4,14,24,25,28,31,10
2013090,2,5,11,23,24,29,8
2013089,4,8,12,19,21,25,13
2013088,9,15,20,21,22,24,14
2013087,2,13,19,23,24,28,5
2013086,2,4,11,13,16,26,11
2013085,2,8,12,14,16,32,16
2013084,5,7,9,11,20,21,3
2013083,5,6,12,14,19,23,9
2013082,4,13,14,20,22,30,6
2013081,1,4,10,13,21,31,13
2013080,10,11,12,23,28,32,16
2013079,7,13,17,19,22,26,13
2013078,3,5,17,18,26,27,15
2013077,9,14,23,24,26,29,3
2013076,14,23,24,26,29,30,3
2013075,4,6,9,25,30,33,14
2013074,3,6,8,14,19,32,3
2013073,2,9,13,17,20,28,11
2013072,2,8,11,14,19,33,9
2013071,5,12,21,23,26,28,9
2013070,2,3,9,10,28,30,6
2013069,7,16,17,18,30,33,6
2013068,2,7,13,20,25,27,6
2013067,1,4,9,15,22,30,6
2013066,1,3,16,17,20,32,7
2013065,7,18,19,23,29,30,2
2013064,1,9,13,22,25,32,12
2013063,10,15,18,20,23,31,12
2013062,1,6,7,19,22,27,2
2013061,5,6,7,12,13,18,12
2013060,5,7,10,13,19,20,15
2013059,3,10,18,24,27,29,9
2013058,8,11,17,21,23,24,5
2013057,13,16,19,23,26,28,5
2013056,3,12,25,26,28,29,16
2013055,8,18,19,22,27,32,6
2013054,3,4,8,14,21,28,14
2013053,3,12,13,22,30,33,14
2013052,6,7,14,21,22,24,13
2013051,8,12,15,19,28,29,2
2013050,3,7,13,18,22,25,3
2013049,10,13,14,16,21,32,14
2013048,10,13,17,28,30,32,4
2013047,1,8,11,17,27,30,12
2013046,3,16,19,20,24,26,6
2013045,6,7,8,14,23,31,12
2013044,3,5,11,18,26,28,6
2013043,3,6,14,15,17,25,16
2013042,1,8,12,13,15,33,3
2013041,2,10,12,17,23,24,5
2013040,2,4,10,12,17,30,10
2013039,1,2,14,15,24,29,6
2013038,9,10,12,14,15,19,11
2013037,2,15,18,27,28,32,14
2013036,4,5,9,27,29,31,13
2013035,1,14,15,17,26,30,2
2013034,6,15,20,22,26,33,9
2013033,5,6,13,17,19,28,1
2013032,4,21,25,29,30,33,3
2013031,3,13,14,15,21,33,3
2013030,7,14,18,25,26,29,6
2013029,6,7,10,19,23,29,12
2013028,7,8,14,25,26,28,13
2013027,1,2,4,12,21,24,12
2013026,4,11,14,15,22,31,11
2013025,16,17,18,24,25,30,8
2013024,4,5,13,23,27,30,9
2013023,3,6,15,18,30,32,5
2013022,2,4,7,9,15,20,7
2013021,1,6,17,19,26,31,11
2013020,1,7,8,12,16,21,1
2013019,1,2,5,16,20,26,6
2013018,2,8,13,28,29,30,5
2013017,4,6,12,30,31,32,9
2013016,2,5,6,12,14,28,5
2013015,5,6,7,11,13,18,15
2013014,2,4,5,17,19,20,8
2013013,5,6,13,19,22,28,9
2013012,6,14,17,22,28,29,2
2013011,3,12,17,24,27,29,9
2013010,1,9,11,17,32,33,12
2013009,1,4,9,13,16,23,2
2013008,3,8,17,21,25,32,15
2013007,2,9,15,22,26,32,1
2013006,9,10,13,17,22,30,13
2013005,1,13,14,25,31,32,12
2013004,6,10,16,20,27,32,8
2013003,22,23,26,27,28,33,9
2013002,1,16,18,22,28,30,12
2013001,6,8,14,15,24,25,6
